日期 开盘 收盘 涨跌额 涨跌幅 最低 最高 成交量(手) 成交金额(万) 换手率
累计： 2019-05-23至2019-09-30 262.00 29.50% 840 1188.87 3070604 30936521.97 24.41%
2019-09-30 1163.00 1150.00 -24.75 -2.11% 1150.00 1169.43 30825 356598.88 0.25%
2019-09-27 1164.00 1174.75 7.75 0.66% 1153.00 1183.00 22827 267175.44 0.18%
2019-09-26 1174.94 1167.00 -7.00 -0.60% 1158.81 1183.35 26082 305047.84 0.21%
2019-09-25 1180.00 1174.00 -10.00 -0.84% 1170.50 1188.87 24025 283230.84 0.19%
2019-09-24 1155.00 1184.00 35.00 3.05% 1152.00 1184.90 36269 425983.41 0.29%
2019-09-23 1157.00 1149.00 -8.42 -0.73% 1131.00 1157.00 30026 343105.91 0.24%
2019-09-20 1151.00 1157.42 12.42 1.08% 1147.59 1160.00 37627 434613.81 0.30%
2019-09-19 1148.00 1145.00 -3.90 -0.34% 1137.10 1150.00 24480 280006.44 0.19%
2019-09-18 1108.50 1148.90 54.89 5.02% 1108.18 1150.00 69314 789956.06 0.55%
2019-09-17 1094.00 1094.01 -4.99 -0.45% 1087.00 1106.66 25197 276738.59 0.20%
2019-09-16 1083.00 1099.00 0.00 0.00% 1083.00 1103.95 31372 343229.22 0.25%
2019-09-12 1066.00 1099.00 29.48 2.76% 1066.00 1109.98 41211 449821.03 0.33%
2019-09-11 1119.22 1069.52 -54.33 -4.83% 1068.00 1119.97 81717 890469.06 0.65%
2019-09-10 1134.30 1123.85 -12.67 -1.11% 1120.01 1135.00 26227 295275.38 0.21%
2019-09-09 1145.00 1136.52 -5.97 -0.52% 1135.00 1148.00 29379 334608.06 0.23%
2019-09-06 1144.50 1142.49 -1.51 -0.13% 1131.00 1146.15 26177 297815.56 0.21%
2019-09-05 1129.00 1144.00 18.99 1.69% 1128.00 1144.90 32931 374660.81 0.26%
2019-09-04 1140.80 1125.01 -14.99 -1.31% 1120.11 1142.91 33600 378590.47 0.27%
2019-09-03 1140.00 1140.00 1.24 0.11% 1128.56 1151.02 29485 335857.84 0.23%
2019-09-02 1139.99 1138.76 -3.24 -0.28% 1129.00 1144.98 28234 321085.06 0.22%
2019-08-30 1125.00 1142.00 28.90 2.60% 1123.00 1146.00 44891 509387.72 0.36%
2019-08-29 1105.00 1113.10 12.99 1.18% 1092.50 1118.18 29330 324770.44 0.23%
2019-08-28 1109.00 1100.11 -8.89 -0.80% 1083.01 1123.19 47010 516977.91 0.37%
2019-08-27 1117.00 1109.00 6.05 0.55% 1109.00 1131.31 52164 583061.81 0.42%
2019-08-26 1113.00 1102.95 -27.15 -2.40% 1096.68 1128.00 48498 538279.25 0.39%
2019-08-23 1105.00 1130.10 26.10 2.36% 1095.62 1133.56 40192 449578.28 0.32%
2019-08-22 1072.99 1104.00 38.00 3.56% 1070.00 1104.00 37591 409904.50 0.30%
2019-08-21 1070.10 1066.00 -4.00 -0.37% 1061.66 1076.97 25067 267884.19 0.20%
2019-08-20 1055.00 1070.00 14.12 1.34% 1050.00 1073.68 28602 303821.94 0.23%
2019-08-19 1061.00 1055.88 1.28 0.12% 1049.05 1069.98 32868 347155.81 0.26%
2019-08-16 1049.84 1054.60 9.70 0.93% 1041.00 1075.58 36087 382248.84 0.29%
2019-08-15 1028.00 1044.90 1.57 0.15% 1028.00 1046.48 27237 282133.12 0.22%
2019-08-14 1030.02 1043.33 25.38 2.49% 1030.02 1051.90 41411 432707.12 0.33%
2019-08-13 1016.16 1017.95 -0.68 -0.07% 1010.68 1026.00 30330 308801.38 0.24%
