store_id,city,channel,gender_group,age_group,wkd_ind,product,customer,revenue,order,quant,unit_cost
658,深圳,线下,Female,25-29,Weekday,当季新品,4,796,4,4,59
146,杭州,线下,Female,25-29,Weekday,运动,1,149,1,1,49
70,深圳,线下,Male,>=60,Weekday,T恤,2,178,2,2,49
658,深圳,线下,Female,25-29,Weekday,T恤,1,59,1,1,49
229,深圳,线下,Male,20-24,Weekend,袜子,2,65,2,3,9
28,武汉,线上,Female,35-39,Weekend,T恤,1,97,1,1,49
649,杭州,线下,Female,25-29,Weekend,短裤,1,33,1,1,19
520,杭州,线下,Male,>=60,Weekend,T恤,2,158,2,2,49
649,杭州,线下,Female,30-34,Weekend,牛仔裤,3,157,3,3,69
21,北京,线下,Female,45-49,Weekend,毛衣,1,199,1,1,99
208,重庆,线下,Male,20-24,Weekend,配件,1,149,1,1,29
437,重庆,线下,Female,20-24,Weekday,T恤,1,129,1,1,49
520,杭州,线下,Female,35-39,Weekend,当季新品,12,2050,12,12,59
611,深圳,线下,Male,30-34,Weekend,T恤,1,79,1,1,49
648,西安,线下,Male,20-24,Weekend,T恤,1,59,1,1,49
737,深圳,线下,Male,30-34,Weekend,短裤,1,33,1,1,19
32,武汉,线上,Male,35-39,Weekend,短裤,2,79,2,2,19
649,杭州,线下,Male,30-34,Weekday,袜子,1,19,1,1,9
208,重庆,线下,Female,30-34,Weekend,T恤,1,99,1,1,49
658,深圳,线下,Female,35-39,Weekday,牛仔裤,3,196,3,4,69
420,广州,线上,Male,>=60,Weekday,T恤,1,39,1,1,49
759,重庆,线下,Male,25-29,Weekend,T恤,1,59,1,1,49
802,西安,线下,Female,35-39,Weekday,短裤,1,39,1,1,19
19,南京,线下,Female,35-39,Weekend,T恤,4,176,4,4,49
231,广州,线下,Female,35-39,Weekend,T恤,3,114,3,3,49
375,广州,线上,Female,45-49,Weekday,当季新品,1,79,1,1,59
479,深圳,线下,Female,30-34,Weekday,配件,1,59,1,1,29
146,杭州,线下,Female,25-29,Weekday,T恤,1,79,1,1,49
759,重庆,线下,Female,25-29,Weekday,袜子,1,79,1,1,9
758,杭州,线下,Female,20-24,Weekday,短裤,1,33,1,1,19
68,重庆,线上,Female,50-54,Weekend,短裤,2,106,2,3,19
52,武汉,线上,Male,25-29,Weekend,T恤,1,99,1,1,49
229,深圳,线下,Female,35-39,Weekday,T恤,1,79,1,1,49
135,上海,线下,Female,30-34,Weekend,当季新品,1,49,1,1,59
336,西安,线下,Male,>=60,Weekday,T恤,1,79,1,1,49
142,上海,线下,Male,25-29,Weekday,毛衣,1,190.67,1,1,99
229,深圳,线下,Female,25-29,Weekend,当季新品,1,199,1,1,59
399,广州,线下,Male,30-34,Weekday,当季新品,1,55,1,1,59
519,杭州,线下,Female,35-39,Weekday,袜子,1,20,1,1,9
91,武汉,线上,Male,30-34,Weekday,短裤,1,33,1,1,19
19,南京,线下,Female,45-49,Weekday,毛衣,2,198,2,2,99
323,武汉,线下,Female,35-39,Weekday,T恤,1,59,1,1,49
649,杭州,线下,Male,25-29,Weekend,当季新品,1,54,1,1,59
738,深圳,线下,Female,40-44,Weekday,当季新品,2,288,2,2,59
315,武汉,线下,Female,25-29,Weekend,T恤,1,79,1,1,49
70,深圳,线下,Female,>=60,Weekend,配件,3,434,3,6,29
142,上海,线下,Female,20-24,Weekday,当季新品,1,76,1,1,59
248,杭州,线下,Female,45-49,Weekday,当季新品,1,54,1,1,59
146,杭州,线下,Male,35-39,Weekday,当季新品,1,75,1,1,59
207,上海,线上,Female,20-24,Weekend,T恤,1,99,1,1,49
32,武汉,线上,Female,50-54,Weekend,T恤,1,99,1,1,49
46,武汉,线下,Male,>=60,Weekend,短裤,1,33,1,1,19
611,深圳,线下,Female,25-29,Weekday,短裤,1,33,1,1,19
325,上海,线下,Female,50-54,Weekend,当季新品,1,79,1,1,59
430,成都,线下,Male,35-39,Weekend,裙子,1,79,1,1,59
315,武汉,线下,Female,35-39,Weekend,T恤,1,99,1,1,49
208,重庆,线下,Female,30-34,Weekend,当季新品,1,199,1,1,59
248,杭州,线下,Female,>=60,Weekend,配件,1,78,1,1,29
648,西安,线下,Male,25-29,Weekend,T恤,1,79,1,1,49
737,深圳,线下,Female,30-34,Weekday,短裤,2,66,2,2,19
737,深圳,线下,Female,30-34,Weekday,短裤,1,79,1,1,19
