,id,track_name,size_bytes,price,rating_count_tot,user_rating,prime_genre,sup_devices,ipadSc_urls,lang
0,281656475,PAC-MAN Premium,100788224,3.99,21292,4.0,Games,38,5,10
1,281796108,Evernote - stay organized,158578688,0.0,161065,4.0,Productivity,37,5,23
2,281940292,"WeatherBug - Local Weather, Radar, Maps, Alerts",100524032,0.0,188583,3.5,Weather,37,5,3
3,282614216,"eBay: Best App to Buy, Sell, Save! Online Shopping",128512000,0.0,262241,4.0,Shopping,37,5,9
4,282935706,Bible,92774400,0.0,985920,4.5,Reference,37,5,45
5,283619399,Shanghai Mahjong,10485713,0.99,8253,4.0,Games,47,5,1
6,283646709,PayPal - Send and request money safely,227795968,0.0,119487,4.0,Finance,37,0,19
7,284035177,Pandora - Music & Radio,130242560,0.0,1126879,4.0,Music,37,4,1
8,284666222,PCalc - The Best Calculator,49250304,9.99,1117,4.5,Utilities,37,5,1
9,284736660,Ms. PAC-MAN,70023168,3.99,7885,4.0,Games,38,0,10
10,284791396,Solitaire by MobilityWare,49618944,4.99,76720,4.5,Games,38,4,11
11,284815117,SCRABBLE Premium,227547136,7.99,105776,3.5,Games,37,0,6
12,284815942,Google – Search made just for mobile,179979264,0.0,479440,3.5,Utilities,37,4,33
13,284847138,Bank of America - Mobile Banking,160925696,0.0,119773,3.5,Finance,37,0,2
14,284862767,FreeCell,55153664,4.99,6340,4.5,Games,38,5,2
15,284876795,TripAdvisor Hotels Flights Restaurants,207907840,0.0,56194,4.0,Travel,37,1,26
16,284882215,Facebook,389879808,0.0,2974676,3.5,Social Networking,37,1,29
17,284910350,"Yelp - Nearby Restaurants, Shopping & Services",167407616,0.0,223885,4.0,Travel,37,5,18
18,284993459,"Shazam - Discover music, artists, videos & lyrics",147093504,0.0,402925,4.0,Music,37,3,16
19,285005463,Crash Bandicoot Nitro Kart 3D,10735026,2.99,31456,4.0,Games,47,0,1
20,285946052,iQuran,70707916,1.99,2929,4.5,Reference,43,0,2
21,285994151,:) Sudoku +,6169600,2.99,11447,5.0,Games,40,5,1
22,286058814,"Yahoo Sports - Teams, Scores, News & Highlights",130583552,0.0,137951,4.0,Sports,37,2,6
23,286070473,Mileage Log | Fahrtenbuch,71203840,5.99,8,4.5,Business,37,5,3
24,286799607,Cleartune - Chromatic Tuner,11423008,3.99,3241,4.0,Music,43,2,10
25,286906691,Lifesum – Inspiring healthy lifestyle app,188017664,0.0,5795,3.5,Health & Fitness,37,5,11
26,286911400,Hangman.,4765696,0.0,42316,3.0,Games,38,0,1
27,288113403,iTranslate - Language Translator & Dictionary,287933440,0.0,123215,3.5,Productivity,37,5,23
28,288120394,TouchOSC,4263936,4.99,782,4.0,Music,43,1,1
29,288419283,RadarScope,172772352,9.99,3449,4.0,Weather,37,5,1
30,288429040,LinkedIn,273844224,0.0,71856,3.5,Social Networking,37,2,23
31,289084315,Period Tracker Deluxe,40216576,1.99,13350,4.5,Health & Fitness,38,0,15
32,289446241,Election 2016 Map,2386944,0.99,137,3.0,Entertainment,37,1,1
33,289523017,Blackjack by MobilityWare,105431040,0.0,180087,3.5,Games,37,5,5
34,289894882,White Noise,44129280,0.99,33426,4.0,Health & Fitness,37,5,3
35,290638154,iHeartRadio – Free Music & Radio Stations,116443136,0.0,293228,4.0,Music,37,5,2
36,290807369,Line Rider iRide™,1646592,1.99,21609,3.5,Entertainment,40,0,1
37,290986013,Deliveries: a package tracker,30016512,4.99,4684,4.0,Utilities,37,4,9
38,291430598,Hurricane Pro,29518848,2.99,2104,4.5,Weather,37,0,1
39,292421271,Fieldrunners,66872320,2.99,41633,4.0,Games,37,0,1
40,292628469,Juxtaposer,45229056,2.99,3610,4.5,Photo & Video,37,5,1
41,292738169,Deezer - Listen to your Favorite Music & Playlists,127470592,0.0,4677,3.0,Music,37,5,21
42,293118835,iStellar,44241920,3.99,30,3.5,Navigation,37,0,2
43,293523031,Sonos Controller,107983872,0.0,48905,4.5,Music,37,4,12
44,293573778,Avertinoo,8044544,4.99,32,3.0,Navigation,38,5,7
45,293622097,Google Earth,37214208,0.0,446185,3.5,Travel,43,5,30
46,293760823,iFart - The Original Fart Sounds App,60320768,1.99,21825,3.0,Entertainment,37,5,1
47,293778748,PAC-MAN,100849664,0.0,508808,3.0,Games,38,5,10
