,revenue,reach,local_tv,online,instore,person,event
845,45860.28,2,31694.91,2115,3296,8,non_event
483,63588.23,2,35040.17,1826,2501,14,special
513,23272.69,4,30992.82,1851,2524,6,special
599,45911.23,2,29417.78,2437,3049,12,special
120,36644.23,2,35611.11,1122,1142,13,cobranding
867,36172.81,4,22372.59,2001,1881,17,cobranding
847,43797.03,3,31443.74,1667,1846,15,cobranding
950,41629.8,4,35775.75,1155,2715,12,special
942,21303.48,2,24888.31,1853,3677,4,non_event
550,20746.15,4,26623.48,1497,3075,9,holiday
975,36692.43,4,27366.7,2337,2956,13,cobranding
674,29800.63,4,29694.11,1475,4124,6,holiday
321,38852.52,3,31587.56,1881,4266,4,holiday
915,44145.29,4,30884.54,1037,3950,13,special
83,36346.82,3,29287.81,1395,2670,9,cobranding
346,23607.01,3,33596.12,1883,3129,3,non_event
51,54522.25,3,36166.95,2011,4581,11,special
498,28820.97,1,35994.44,1217,2075,9,special
997,28618.06,3,35481.5,1294,1731,10,non_event
565,35958.77,4,32351.67,2254,3859,9,cobranding
219,14227.06,5,20000,1650,3634,10,non_event
286,25067.79,4,28157.24,1453,1823,10,cobranding
618,44342.46,3,,1631,3209,9,special
553,41919.35,4,40247.53,1236,2487,10,cobranding
11,29013.7,3,,836,2653,12,special
100,50585.76,3,29775.91,1280,3019,14,special
870,54222.77,3,38158.96,1337,2965,13,holiday
567,30858.42,3,31534.21,1349,2181,10,cobranding
47,35582.36,3,28822.46,1609,2357,13,cobranding
299,59561.68,3,37476.17,2160,3734,12,special
759,43633.81,3,36175.84,1336,2549,11,non_event
85,33690.12,3,27631.69,2578,3337,11,special
303,57485.34,3,32462.02,1208,4248,15,non_event
580,16452.35,3,27300.5,1460,1670,9,special
315,22999.75,4,23159.21,2620,4121,12,non_event
58,45079.28,3,34685.39,1912,3331,14,holiday
452,51817.62,2,36158.71,1244,3561,10,cobranding
572,26236.39,3,25664.51,1965,2170,11,holiday
891,61157.54,4,32962.84,1781,5279,13,non_event
40,24739.87,4,30283.7,754,1946,12,non_event
297,25517.92,4,34138.75,2052,1529,9,special
206,53965.79,1,31789.13,998,4150,14,special
771,38025.14,3,,1749,3131,14,cobranding
118,61361.42,2,38011.16,1757,2685,17,cobranding
633,37870.63,3,35692.3,1192,1024,14,special
168,33910.98,3,30673.04,1593,3290,10,non_event
679,29497.39,3,31722.17,1487,3407,5,special
601,23550.04,3,27474.83,1385,4756,6,special
863,45305.14,3,39357.43,2117,3727,5,special
797,32545.74,4,34514.01,1556,3167,8,non_event
273,27869.96,2,28747.63,1145,3707,9,cobranding
970,37954.16,2,28954.53,1703,4106,12,non_event
74,31544.18,3,30520.15,1591,4403,7,holiday
251,20300.99,2,28745,1702,2400,4,cobranding
84,41079.82,2,27158.59,1681,2452,15,cobranding
75,51802.34,1,35232.32,2072,2483,13,non_event
87,18110.74,2,32574.45,1937,1807,7,special
727,26531.32,2,30544.73,2653,1537,7,non_event
105,25500.34,3,26879.69,354,2988,10,cobranding
650,41768.53,4,37046.2,1535,3095,8,holiday
344,42400.99,4,35690.43,2042,3402,13,special
205,41233.78,4,31821.2,1720,4230,13,special
763,37541.33,4,,1020,3008,11,cobranding
648,44207.74,2,32687.14,2732,2181,9,non_event
996,34826.87,4,27801.73,1914,2507,14,cobranding
826,10207.96,3,24713.18,1942,1531,9,special
63,30631.22,4,33862.24,1287,3595,9,cobranding
895,33059.15,5,29230.59,1990,3270,13,cobranding
260,37635.98,5,33081.77,1249,3906,8,cobranding
42,23197.28,4,30446.4,1981,1872,11,cobranding
843,31711.67,3,31939.51,1404,2585,9,cobranding
192,25691.81,3,27605.15,2148,2769,9,special
668,42166.8,2,29609.22,1446,3724,10,holiday
613,36364.46,4,,1902,3483,11,non_event
925,38998.92,3,,1449,3355,10,holiday
968,38817.5,3,31037.89,628,4054,6,special
95,47846.13,3,,1345,3952,10,non_event
945,53374.83,4,30467.53,1395,4182,17,cobranding
134,47248.08,1,31922.69,603,2777,14,special
250,19451.79,5,29031.22,1591,2216,11,cobranding
481,38546.69,3,35660.89,1955,2138,13,cobranding
959,45798.11,3,33420.97,1161,3276,14,cobranding
223,28435.23,4,29702.11,606,2463,12,non_event
934,36776.47,2,30844.86,1002,3369,13,special
270,24914.88,5,29497.79,2109,3276,9,cobranding
844,39373.32,4,33542.5,1531,3218,8,cobranding
114,17464.9,3,25907.44,1363,2692,7,non_event
52,33880.35,2,28289.79,1535,4424,9,holiday
561,47436.33,4,38572.62,1936,3397,10,cobranding
8,22773.04,3,23681.08,1414,3712,10,cobranding
221,27637.04,3,27412.57,2392,2425,11,special
379,40512.13,5,27107.68,1009,5087,11,cobranding
973,41373.29,2,28109.04,1587,4098,10,special
348,38165.42,6,31631.1,1483,3957,13,holiday
947,15071.66,4,21204.22,1701,4470,8,non_event
422,44311.86,2,30325.69,1349,3841,12,special
703,31156.11,5,30809.87,2109,3283,12,cobranding
562,57297.31,4,32373.31,1446,4447,17,non_event
882,47174.12,3,30127.18,1854,4174,13,cobranding
900,43841.35,2,38289.45,1076,3441,10,holiday
166,43501.86,5,32182.15,1809,2931,14,special
563,31573.72,3,31034.49,1184,4156,6,cobranding
792,28271.4,4,31815.44,1633,4637,6,cobranding
341,43330.79,4,32673,851,3754,13,cobranding
196,21040.08,4,29071.4,1486,2982,7,holiday
608,33321.95,4,28446.4,1677,3067,13,special
482,41757.9,3,33513.29,1044,3872,11,non_event
739,32004.95,3,33788.73,2248,3100,7,cobranding
678,37713.05,5,29865.91,1751,3638,9,special
502,38454.36,1,31103.44,571,2873,11,non_event
704,46668.85,3,30585.91,2250,3818,11,holiday
683,38499.61,3,,1179,3102,12,non_event
264,54365.97,1,32273.16,1885,3640,13,special
291,48363.43,4,38581.39,2349,2038,11,cobranding
445,54058.99,2,35934.42,1387,3702,11,special
766,28273.48,3,,1163,3020,9,special
985,48207.7,2,35138.44,1592,2446,12,special
156,34238.86,4,25502.17,2294,2276,13,cobranding
417,42175.98,3,26753.22,1612,4196,12,special
684,45366.59,3,,1653,3109,13,special
184,12356.14,4,24930.05,1781,2460,8,cobranding
267,30542.97,4,29256.1,1382,4444,9,special
233,60993.85,3,34942.7,2331,4398,14,non_event
555,37234.97,2,31347.15,1458,2183,9,cobranding
437,40753.19,3,27680.64,1694,4291,15,non_event
389,29030.29,5,35676.49,548,4001,7,special
536,23068.01,3,30349.56,2107,3517,4,cobranding
910,16730.12,4,29293.46,1404,1143,8,cobranding
594,49554.93,2,37447.36,2041,1609,8,cobranding
672,32096.89,2,30093.27,1759,2404,12,non_event
364,28518.4,3,22631.33,1022,3744,13,special
209,60646.45,2,32633.77,1831,5605,15,cobranding
72,50945.71,3,34470.94,384,5510,9,special
423,30035.07,3,26979.89,1424,3261,11,cobranding
13,25745.24,4,,1566,2972,9,special
842,30192.95,4,28075.26,2473,4815,10,cobranding
595,40029.35,2,29742.3,562,3439,12,cobranding
275,38006.08,4,30381.85,1716,2727,11,special
806,47149.54,1,34063.56,1702,3474,12,cobranding
928,24375.44,3,25249.79,1482,2568,9,cobranding
215,29542.01,2,29029.79,1989,4094,5,cobranding
906,27253.28,3,37070.52,1654,2363,10,special
104,38574.12,3,27786.63,2008,2851,11,cobranding
655,23952.95,3,34258.99,1085,1754,10,non_event
816,36053.21,3,36806.96,548,2573,13,non_event
960,37642.47,3,29642.38,1516,4052,11,special
472,53594.11,4,37897.33,1624,2579,12,cobranding
464,43373.06,2,29862.86,1440,2239,15,cobranding
738,56566.28,2,40066.88,563,3842,10,non_event
23,42194.96,3,27327.52,1811,3781,11,special
129,46763.4,2,34606.98,2219,1728,13,special
331,33174.25,4,29054.98,2142,3212,11,holiday
50,45259.21,4,30319.53,1490,4203,9,cobranding
414,32610.97,4,33972.41,228,2233,15,cobranding
272,45808.03,2,30830.47,1863,2187,16,special
7,38655.51,3,24410.57,1240,3417,12,non_event
436,26738.7,2,28984.94,1538,2462,9,special
55,39676.18,2,27101.46,2294,2876,10,non_event
693,35875.91,3,29601.95,1699,3705,12,cobranding
218,36451.59,4,33996.01,1505,3478,9,non_event
857,29339.32,5,33755.52,790,3518,6,special
386,34897.7,4,32698.72,878,2088,12,cobranding
175,31801.55,4,32409.88,1217,1255,13,cobranding
623,44659.15,4,30219.93,1466,2387,11,holiday
313,34102.6,5,35225.88,1869,4616,7,non_event
298,40034.07,2,30625.76,2104,3152,11,cobranding
43,22763.7,3,24655.53,1855,5893,7,non_event
277,32081.81,4,32303.53,808,1719,9,cobranding
371,30409.71,2,33537.61,2221,2408,4,non_event
119,63154.48,2,38308.43,2106,3545,14,cobranding
471,35154.61,4,24213.46,1699,4854,11,special
214,45644.43,3,29922.67,2583,4061,10,special
574,30223.6,3,31045.49,1110,1182,12,holiday
712,34167.09,2,31236.24,1788,2814,7,holiday
916,57329.53,5,35647.87,1422,4625,16,non_event
238,37069.81,4,31571.94,2483,643,12,cobranding
786,58434.47,4,33390.73,1961,4413,16,holiday
252,14850.56,4,24512.13,1330,1204,10,cobranding
131,44080.31,3,30376.61,1036,3373,13,cobranding
680,41375.83,4,32767.67,972,5097,7,cobranding
169,22364.68,3,29582.01,1718,2525,7,non_event
881,40764.64,4,31005.13,1327,4142,13,non_event
681,51647.22,2,33028.58,1146,3848,11,cobranding
745,37060.19,3,34031.73,1541,4938,6,cobranding
217,50091.4,1,32832.47,1208,5682,7,non_event
328,56622,2,33508.27,1210,3376,16,cobranding
609,16781.84,4,28921.15,1071,1380,10,cobranding
17,37615.92,3,,2059,2616,13,cobranding
552,26967.87,2,24922.69,1175,2937,13,cobranding
154,18959.71,5,24329.54,1627,4044,10,special
231,61484.08,2,39126.47,1311,4550,11,special
